City,Year,Month,Bus,MRT,HSR
New Taipei,2013,7,18140339,,265425
New Taipei,2013,8,18111899,,267205
New Taipei,2013,9,18884990,,261753
New Taipei,2013,10,20728131,,249260
New Taipei,2013,11,20190869,,246284
New Taipei,2013,12,21006412,,257721
New Taipei,2014,1,20706272,,229455
New Taipei,2014,2,18905348,,279433
New Taipei,2014,3,22910394,,260863
New Taipei,2014,4,22032926,,268380
New Taipei,2014,5,23085208,,257829
New Taipei,2014,6,21340760,,259463
New Taipei,2014,7,22486066,,264282
New Taipei,2014,8,22901604,,266136
New Taipei,2014,9,23722270,,259903
New Taipei,2014,10,25322885,,265478
New Taipei,2014,11,24245278,,258151
New Taipei,2014,12,25958110,,266991
New Taipei,2015,1,23914295,,263712
New Taipei,2015,2,19305670,,290959
New Taipei,2015,3,25635911,,272069
New Taipei,2015,4,24051090,,276299
New Taipei,2015,5,25136233,,279611
New Taipei,2015,6,23687876,,270720
New Taipei,2015,7,22732996,,273484
New Taipei,2015,8,22031686,,276616
New Taipei,2015,9,23296986,,265286
New Taipei,2015,10,25321246,,278353
New Taipei,2015,11,24541588,,275295
New Taipei,2015,12,25877897,,328895
New Taipei,2016,1,23634257,,304502
New Taipei,2016,2,20555517,,369601
New Taipei,2016,3,25781496,,318263
New Taipei,2016,4,23823946,,310843
New Taipei,2016,5,25195322,,307284
New Taipei,2016,6,23378671,,297127
New Taipei,2016,7,22399117,,309178
New Taipei,2016,8,23740175,,306877
New Taipei,2016,9,22589025,,287816
New Taipei,2016,10,25187375,,322119
New Taipei,2016,11,25206569,,301011
New Taipei,2016,12,26255985,,344459
New Taipei,2017,1,22827488,,349125
New Taipei,2017,2,21228075,,321626
New Taipei,2017,3,25813993,,312239
New Taipei,2017,4,23908811,,336365
New Taipei,2017,5,25005861,,341275
New Taipei,2017,6,23921057,,285027
New Taipei,2017,7,22740441,,320796
New Taipei,2017,8,23552769,,336050
New Taipei,2017,9,24270308,,292178
New Taipei,2017,10,24618621,,347619
New Taipei,2017,11,25124663,,316477
New Taipei,2017,12,26079270,,383086
New Taipei,2018,1,24926009,,324262
New Taipei,2018,2,20481664,,354571
New Taipei,2018,3,26490189,,335350
New Taipei,2018,4,23915513,,363053
New Taipei,2018,5,26484440,,335369
New Taipei,2018,6,24694164,,332443
New Taipei,2018,7,24083675,,339866
New Taipei,2018,8,25029234,,344063
New Taipei,2018,9,25063153,,336748
New Taipei,2018,10,27762934,,337120
New Taipei,2018,11,27523159,,350414
New Taipei,2018,12,27523159,,399539
New Taipei,2019,1,26028427,,336270
New Taipei,2019,2,21189306,355786,368197
New Taipei,2019,3,26515888,301720,364551
New Taipei,2019,4,25685022,306143,371716
New Taipei,2019,5,27601171,225128,350620
New Taipei,2019,6,25048177,239306,362710
New Taipei,2019,7,25790083,271622,362748
New Taipei,2019,8,25177430,265532,351426
New Taipei,2019,9,25464168,265741,358677
New Taipei,2019,10,26742821,313280,374637
New Taipei,2019,11,24623565,285787,368741
New Taipei,2019,12,31051652,318562,419761
New Taipei,2020,1,23733619,299059,434097
New Taipei,2020,2,19936831,239892,284810
New Taipei,2020,3,22546441,232567,274700
New Taipei,2020,4,19899417,194503,232153
New Taipei,2020,5,22816094,233507,286005
New Taipei,2020,6,22976707,279876,335441
New Taipei,2020,7,24362291,273614,364592
New Taipei,2020,8,23961723,279811,410127
New Taipei,2020,9,25448842,270933,361861
New Taipei,2020,10,25466432,319445,440062
New Taipei,2020,11,25628849,455455,418539
New Taipei,2020,12,26838828,408398,461830
New Taipei,2021,1,23813630,378157,357454
New Taipei,2021,2,19417556,406077,354645
New Taipei,2021,3,25882099,426491,391411
New Taipei,2021,4,24496158,421340,413514
New Taipei,2021,5,14782458,228176,204793
New Taipei,2021,6,5787326,89185,39079
New Taipei,2021,7,8215767,130682,88254
New Taipei,2021,8,13004622,208521,174189
New Taipei,2021,9,16571402,241344,219774
New Taipei,2021,10,20528027,347516,304807
New Taipei,2021,11,22187874,333724,340436
New Taipei,2021,12,23536267,359201,421682
New Taipei,2022,1,20353096,303807,303573
New Taipei,2022,2,16509899,290901,339859
New Taipei,2022,3,23586401,371299,363333
New Taipei,2022,4,18321966,291421,302913
New Taipei,2022,5,14129327,226831,198964
New Taipei,2022,6,16024806,267338,243806
New Taipei,2022,7,18279523,333004,345368
New Taipei,2022,8,20285674,344752,375438
New Taipei,2022,9,20935683,353448,371749
New Taipei,2022,10,21490226,348863,403110
New Taipei,2022,11,22843542,376258,414771
New Taipei,2022,12,23781703,389222,475597
