City,Year,Month,Bus,MRT,HSR
Kaohsiung,2021,8,1384726,2128658,321264
Kaohsiung,2021,9,2150860,2798718,425769
Kaohsiung,2021,10,2754548,3832482,565922
Kaohsiung,2021,11,2824624,3936109,621783
Kaohsiung,2021,12,3049129,4918486,755075
Kaohsiung,2022,1,2527519,3681540,610231
Kaohsiung,2022,2,1954788,4111882,538469
Kaohsiung,2022,3,2988400,3938146,645700
Kaohsiung,2022,4,2538344,3263741,553414
Kaohsiung,2022,5,1956412,2423675,357946
Kaohsiung,2022,6,1493812,2380980,414693
Kaohsiung,2022,7,2001422,3644534,603420
Kaohsiung,2022,8,2330036,4348770,676146
Kaohsiung,2022,9,2645066,3903449,686012
Kaohsiung,2022,10,2890095,4721677,743601
Kaohsiung,2022,11,2864396,4467559,738645
Kaohsiung,2022,12,3058401,5248855,829905
Tainan,2012,1,,,280422
Tainan,2012,2,,,238025
Tainan,2012,3,,,253881
Tainan,2012,4,,,247240
Tainan,2012,5,,,251191
Tainan,2012,6,,,242987
Tainan,2012,7,,,270109
Tainan,2012,8,,,253588
Tainan,2012,9,,,259208
Tainan,2012,10,,,260387
Tainan,2012,11,,,265605
Tainan,2012,12,,,284397
Tainan,2013,1,,,251678
Tainan,2013,2,,,273833
Tainan,2013,3,,,280377
Tainan,2013,4,,,276944
Tainan,2013,5,,,274743
Tainan,2013,6,,,268593
Tainan,2013,7,,,283127
Tainan,2013,8,,,283882
Tainan,2013,9,,,277122
Tainan,2013,10,,,269034
Tainan,2013,11,,,276983
Tainan,2013,12,,,282211
Tainan,2014,1,1243930,,280514
Tainan,2014,2,1223704,,255777
Tainan,2014,3,1365965,,278887
Tainan,2014,4,1337435,,280765
Tainan,2014,5,1424877,,285821
Tainan,2014,6,1387302,,267984
Tainan,2014,7,1339894,,282100
Tainan,2014,8,1355656,,280725
Tainan,2014,9,1416641,,275626
Tainan,2014,10,1479322,,290901
Tainan,2014,11,1473969,,284201
Tainan,2014,12,1516487,,295119
Tainan,2015,1,1505041,,277370
Tainan,2015,2,1300353,,294293
Tainan,2015,3,1511702,,293897
Tainan,2015,4,1413123,,302203
Tainan,2015,5,1450762,,297699
Tainan,2015,6,1525395,,290996
Tainan,2015,7,1456940,,297763
Tainan,2015,8,1472840,,287406
Tainan,2015,9,1469972,,267493
Tainan,2015,10,1619853,,278983
Tainan,2015,11,1642350,,285336
Tainan,2015,12,1658515,,314139
Tainan,2016,1,1683462,,301428
Tainan,2016,2,1594767,,289361
Tainan,2016,3,1741477,,290272
Tainan,2016,4,1674171,,309985
Tainan,2016,5,1685293,,303984
Tainan,2016,6,1600006,,305470
Tainan,2016,7,1572824,,307675
Tainan,2016,8,1720062,,307708
Tainan,2016,9,1553553,,294593
Tainan,2016,10,1730871,,321308
Tainan,2016,11,1714689,,310903
Tainan,2016,12,1767332,,344860
Tainan,2017,1,1591803,,347126
Tainan,2017,2,1450190,,301572
Tainan,2017,3,1844196,,326181
Tainan,2017,4,1545138,,330460
Tainan,2017,5,1776047,,337249
Tainan,2017,6,1669143,,301175
Tainan,2017,7,1693330,,322169
Tainan,2017,8,1788416,,336436
Tainan,2017,9,1663643,,302336
Tainan,2017,10,1829851,,356509
Tainan,2017,11,1804299,,335950
Tainan,2017,12,1924334,,368132
Tainan,2018,1,1682955,,317500
Tainan,2018,2,1427373,,339905
Tainan,2018,3,1801822,,343013
Tainan,2018,4,1700833,,360128
Tainan,2018,5,1798066,,337795
Tainan,2018,6,1658305,,338620
Tainan,2018,7,1714093,,336827
Tainan,2018,8,1662464,,346460
Tainan,2018,9,1722362,,342458
Tainan,2018,10,1879827,,341909
Tainan,2018,11,1877546,,386240
Tainan,2018,12,1995682,,377762
Tainan,2019,1,1843917,,346322
Tainan,2019,2,1721880,,358138
Tainan,2019,3,2031566,,359119
Tainan,2019,4,1935378,,371553
Tainan,2019,5,1988637,,349462
Tainan,2019,6,1875110,,361496
Tainan,2019,7,1895847,,355426
Tainan,2019,8,1800827,,350769
Tainan,2019,9,1972226,,355260
Tainan,2019,10,2102159,,374542
Tainan,2019,11,2012950,,370468
Tainan,2019,12,2132075,,385431
Tainan,2020,1,1657638,,410193
Tainan,2020,2,1422371,,259007
Tainan,2020,3,1440546,,216804
Tainan,2020,4,1266365,,186659
Tainan,2020,5,1339655,,226039
Tainan,2020,6,1486578,,287940
Tainan,2020,7,1500621,,318934
Tainan,2020,8,1446715,,338791
Tainan,2020,9,1539646,,317165
Tainan,2020,10,1633766,,361591
Tainan,2020,11,1689312,,341174
Tainan,2020,12,1667854,,370623
Tainan,2021,1,1454892,,295418
Tainan,2021,2,1234022,,299144
Tainan,2021,3,1575745,,328594
Tainan,2021,4,1499863,,353150
Tainan,2021,5,945385,,174067
Tainan,2021,6,233071,,32490
Tainan,2021,7,320584,,72743
Tainan,2021,8,572067,,145970
Tainan,2021,9,999502,,200953
Tainan,2021,10,1229851,,270418
Tainan,2021,11,1259138,,304859
Tainan,2021,12,1348501,,365921
Tainan,2022,1,,,288483
Tainan,2022,2,,,259848
Tainan,2022,3,,,333945
Tainan,2022,4,,,281501
Tainan,2022,5,,,174550
Tainan,2022,6,,,206740
Tainan,2022,7,,,303855
Tainan,2022,8,,,332759
Tainan,2022,9,,,338653
Tainan,2022,10,,,364101
Tainan,2022,11,,,366918
Tainan,2022,12,,,418201
